date,prcp_mm,prcp_z_nov,temp_avg_c
2024-11-01,0.0,-0.16495937728711998,1.5
2024-11-02,0.03,-0.0793896714897667,1.5299999999999998
2024-11-03,0.0,-0.16495937728711998,1.89
2024-11-04,0.0,-0.16495937728711998,1.8050000000000002
2024-11-05,0.0,-0.16495937728711998,1.5850000000000002
2024-11-06,0.0,-0.16495937728711998,1.9200000000000004
2024-11-07,0.0,-0.16495937728711998,1.61
2024-11-08,0.0,-0.16495937728711998,1.5850000000000002
2024-11-09,0.0,-0.16495937728711998,1.58
2024-11-10,0.0,-0.16495937728711998,1.585
2024-11-11,0.0,-0.16495937728711998,1.39
2024-11-12,0.0,-0.16495937728711998,1.75
2024-11-13,0.0,-0.16495937728711998,1.89
2024-11-14,0.0,-0.16495937728711998,1.5850000000000002
2024-11-15,0.0,-0.16495937728711998,1.47
2024-11-16,0.0,-0.16495937728711998,1.4449999999999998
2024-11-17,0.0,-0.16495937728711998,1.3900000000000001
2024-11-18,0.0,-0.16495937728711998,1.33
2024-11-19,0.0,-0.16495937728711998,1.5
2024-11-20,0.0,-0.16495937728711998,1.6949999999999998
2024-11-21,0.0,-0.16495937728711998,1.5850000000000002
2024-11-22,0.0,-0.16495937728711998,1.4700000000000002
2024-11-23,0.0,-0.16495937728711998,1.275
2024-11-24,0.0,-0.16495937728711998,1.3900000000000001
2024-11-25,0.0,-0.16495937728711998,1.5850000000000002
2024-11-26,0.0,-0.16495937728711998,1.61
2024-11-27,0.03,-0.0793896714897667,1.58
2024-11-28,0.0,-0.16495937728711998,1.8350000000000002
2024-11-29,0.0,-0.16495937728711998,1.8850000000000002
2024-11-30,0.0,-0.16495937728711998,1.9149999999999998
